Functional,OO,Procedural,Imperative,Human,Machine
FALSE,TRUE,FALSE,FALSE,OO,Mixed
FALSE,TRUE,TRUE,FALSE,Mixed,Procedural
FALSE,FALSE,FALSE,FALSE,Mixed,Mixed
FALSE,FALSE,TRUE,FALSE,Procedural,Procedural
FALSE,FALSE,TRUE,TRUE,Mixed,OO
FALSE,TRUE,FALSE,FALSE,OO,OO
FALSE,TRUE,FALSE,FALSE,OO,OO
FALSE,TRUE,FALSE,FALSE,OO,OO
FALSE,TRUE,TRUE,FALSE,Mixed,OO
FALSE,TRUE,FALSE,FALSE,OO,OO
FALSE,TRUE,FALSE,FALSE,OO,OO
FALSE,FALSE,FALSE,FALSE,Mixed,Mixed
FALSE,FALSE,TRUE,FALSE,Procedural,Procedural
FALSE,TRUE,TRUE,FALSE,Mixed,OO
FALSE,FALSE,TRUE,FALSE,Procedural,Procedural
FALSE,FALSE,FALSE,FALSE,Mixed,Mixed
FALSE,TRUE,FALSE,FALSE,OO,OO
FALSE,FALSE,FALSE,TRUE,Imperative,Imperative
FALSE,TRUE,FALSE,FALSE,OO,OO
FALSE,TRUE,FALSE,FALSE,OO,OO
FALSE,FALSE,TRUE,FALSE,Procedural,Procedural
FALSE,TRUE,FALSE,FALSE,OO,Procedural
FALSE,TRUE,FALSE,FALSE,OO,OO
FALSE,TRUE,FALSE,FALSE,OO,Imperative
FALSE,TRUE,FALSE,FALSE,OO,OO
FALSE,FALSE,FALSE,TRUE,Imperative,Imperative
FALSE,TRUE,TRUE,FALSE,Mixed,OO
FALSE,TRUE,FALSE,FALSE,OO,OO
FALSE,TRUE,FALSE,FALSE,OO,OO
FALSE,TRUE,FALSE,FALSE,OO,OO
FALSE,TRUE,FALSE,FALSE,OO,OO
FALSE,TRUE,FALSE,FALSE,OO,OO
FALSE,TRUE,FALSE,FALSE,OO,Mixed
FALSE,TRUE,TRUE,FALSE,Mixed,OO
FALSE,TRUE,FALSE,FALSE,OO,OO
FALSE,FALSE,TRUE,FALSE,Procedural,Procedural
FALSE,TRUE,FALSE,FALSE,OO,OO
FALSE,FALSE,FALSE,TRUE,Imperative,Imperative
FALSE,FALSE,TRUE,FALSE,Procedural,Procedural
FALSE,FALSE,TRUE,FALSE,Procedural,Procedural
FALSE,FALSE,TRUE,FALSE,Procedural,Procedural
FALSE,FALSE,TRUE,FALSE,Procedural,Imperative
FALSE,FALSE,TRUE,FALSE,Procedural,Procedural
FALSE,TRUE,FALSE,FALSE,OO,OO
FALSE,FALSE,TRUE,FALSE,Procedural,Procedural
FALSE,TRUE,FALSE,FALSE,OO,OO
FALSE,FALSE,TRUE,FALSE,Procedural,Procedural
FALSE,FALSE,FALSE,TRUE,Imperative,Imperative
FALSE,FALSE,FALSE,FALSE,Mixed,Mixed
FALSE,TRUE,FALSE,FALSE,OO,OO
FALSE,FALSE,FALSE,FALSE,Mixed,Mixed
FALSE,FALSE,TRUE,FALSE,Procedural,Procedural
FALSE,FALSE,FALSE,FALSE,Mixed,Mixed
FALSE,TRUE,FALSE,FALSE,OO,OO
FALSE,TRUE,FALSE,FALSE,OO,OO
FALSE,FALSE,TRUE,FALSE,Procedural,Procedural
FALSE,TRUE,FALSE,FALSE,OO,OO
FALSE,TRUE,FALSE,FALSE,OO,OO
FALSE,TRUE,FALSE,FALSE,OO,Mixed
FALSE,FALSE,TRUE,FALSE,Procedural,Procedural
FALSE,TRUE,FALSE,FALSE,OO,OO
FALSE,FALSE,TRUE,FALSE,Procedural,Procedural
FALSE,TRUE,FALSE,FALSE,OO,OO
FALSE,TRUE,FALSE,FALSE,OO,OO
FALSE,TRUE,FALSE,FALSE,OO,OO
FALSE,FALSE,FALSE,TRUE,Imperative,Imperative
FALSE,TRUE,FALSE,FALSE,OO,OO
FALSE,TRUE,FALSE,FALSE,OO,OO
FALSE,TRUE,FALSE,FALSE,OO,OO
FALSE,TRUE,FALSE,FALSE,OO,OO
FALSE,TRUE,FALSE,FALSE,OO,OO
FALSE,TRUE,FALSE,FALSE,OO,OO
FALSE,TRUE,FALSE,FALSE,OO,OO
FALSE,TRUE,FALSE,FALSE,OO,OO
FALSE,TRUE,FALSE,FALSE,OO,Mixed
FALSE,FALSE,TRUE,FALSE,Procedural,Procedural
FALSE,FALSE,TRUE,FALSE,Procedural,Procedural
FALSE,TRUE,FALSE,FALSE,OO,OO
FALSE,FALSE,TRUE,FALSE,Procedural,Procedural
FALSE,FALSE,TRUE,FALSE,Procedural,Procedural
FALSE,FALSE,TRUE,FALSE,Procedural,OO
FALSE,TRUE,FALSE,FALSE,OO,OO
FALSE,TRUE,FALSE,FALSE,OO,OO
FALSE,TRUE,FALSE,FALSE,OO,OO
FALSE,TRUE,TRUE,FALSE,Mixed,Procedural
FALSE,TRUE,FALSE,FALSE,OO,OO
FALSE,TRUE,FALSE,FALSE,OO,OO
FALSE,TRUE,FALSE,FALSE,OO,OO
FALSE,FALSE,TRUE,FALSE,Procedural,Procedural
FALSE,FALSE,FALSE,FALSE,Mixed,Imperative
FALSE,FALSE,TRUE,FALSE,Procedural,Procedural
FALSE,FALSE,TRUE,FALSE,Procedural,Procedural
FALSE,FALSE,TRUE,FALSE,Procedural,Procedural
FALSE,FALSE,TRUE,FALSE,Procedural,Procedural
FALSE,FALSE,TRUE,FALSE,Procedural,Procedural
FALSE,FALSE,TRUE,FALSE,Procedural,Procedural
FALSE,TRUE,FALSE,FALSE,OO,OO
FALSE,TRUE,FALSE,FALSE,OO,OO
FALSE,TRUE,TRUE,FALSE,Mixed,OO
FALSE,TRUE,FALSE,FALSE,OO,OO
FALSE,TRUE,TRUE,FALSE,Mixed,OO
FALSE,TRUE,FALSE,FALSE,OO,OO